3.3816,3.3891
4.5279,5.8542
2.6557,4.412
2.7652,3.7154
2.8466,4.1755
3.8907,6.4884
3.4758,3.6328
5.9113,6.6808
3.9289,5.0984
4.5618,5.6233
4.5741,5.3977
4.3717,5.4612
4.1917,4.9547
5.2441,4.6615
2.8358,3.768
5.6353,6.3121
4.6863,5.6652
2.8505,4.6265
5.1102,7.3632
5.1826,4.6465
5.7073,6.681
3.5797,4.8028
5.6394,6.1204
4.2635,4.6894
2.5365,3.8845
3.2238,4.9426
4.9295,5.955
5.793,5.1084
2.8168,4.819
3.8888,5.1004
3.3432,5.893
5.8797,5.5214
3.1039,3.8571
5.3315,4.6807
3.3754,4.5654
4.7767,6.2544
2.6757,3.731
5.5003,5.6795
1.7971,3.2475
4.3225,5.1111
4.421,6.0256
3.1793,4.4369
3.0335,3.9788
4.6093,5.8798
2.9638,3.3002
3.9718,5.4077
1.1802,2.8787
1.919,5.0711
3.9552,4.5053
5.118,6.0851
